uid;nom;cognom;tipus;password;email
mmarr;manel;marrero;professor;12345;mmarr@ncognom.local
mgarcia;marta;garcia;professor;12345;mgarcia@ncognom.local
mvidal;maria;vidal;alumne;12345;mvidal@ncognom.local
jvidal;joana;vidal;alumne;12345;jvidal@ncognom.local
rcarmo;ramona;carmona;alumne;12345;rcarmo@ncognom.local
epuja;eva;pujades;alumne;12345;epuja@ncognom.local
emolina;esther;molina;alumne;12345;emolina@ncognom.local
csale;cristina;salero;alumne;12345;csale@ncognom.local
ljuve;laura;juve;alumne;12345;ljuve@ncognom.local
jmadi;judit;madi;alumne;12345;jmadi@ncognom.local
